Latitude,Longitude,PS,WS50M,Z0M,T10M
34.606243,-116.077545,92.16714285714284,5.384285714285714,0.03,18.99142857142857
40.002026,-120.194824,84.45,3.985714285714285,0.57,10.031428571428572
47.218243,-117.435516,93.83285714285716,5.53,0.05,8.89
40.529621,-92.91095,98.08428571428573,6.734285714285714,0.06,10.664285714285716
40.648941,-95.792084,97.82714285714285,6.944285714285714,0.05,11.265714285714283
41.727875,-70.401367,101.48428571428572,7.888571428571429,0.0,11.247142857142858
34.975163,-104.771881,83.28285714285714,7.177142857142857,0.04,13.655714285714286
41.473579,-99.783081,91.86142857142856,7.477142857142857,0.04,10.118571428571428
46.581402,-100.758972,94.78428571428572,7.132857142857143,0.03,6.804285714285714
38.333992,-99.358521,94.01714285714286,7.382857142857143,0.05,13.227142857142857
41.169128,-82.95224,98.44285714285716,6.738571428571428,0.05,10.40857142857143
47.139824,-110.410324,82.45142857142858,6.158571428571428,1.02,3.577142857142857
38.773354,-90.407593,99.59857142857145,5.841428571428572,0.28,12.70142857142857
39.528008,-94.666962,98.23714285714286,6.827142857142857,0.05,11.941428571428572
40.032185,-105.502609,73.33571428571429,5.732857142857143,0.97,3.8114285714285714
41.238609,-83.212341,98.44285714285716,6.738571428571428,0.05,10.40857142857143
44.70565,-107.399429,76.57571428571428,4.847142857142857,1.25,1.82
37.48064,-96.871735,96.9557142857143,7.298571428571428,0.05,13.877142857142855
43.360844,-95.270325,96.60285714285716,7.298571428571428,0.04,8.034285714285714
43.880695,-107.000671,79.17285714285715,5.821428571428571,0.74,4.594285714285713
40.592251,-86.089325,98.81,6.7,0.05,10.884285714285712
45.332993,-95.006226,97.03714285714284,7.061428571428571,0.04,6.375714285714285
44.053196,-87.863098,98.46142857142856,7.21,0.04,7.712857142857142
26.333931,-97.686249,101.41285714285712,7.122857142857143,0.04,23.812857142857144
34.613049,-116.401215,92.16714285714284,5.384285714285714,0.03,18.99142857142857
44.851234,-74.117676,99.86428571428571,4.935714285714285,1.28,7.185714285714285
39.310749,-79.452057,94.34857142857145,4.632857142857143,2.06,9.72
41.614552,-96.260986,97.25142857142858,7.114285714285714,0.05,10.332857142857142
35.302368,-107.48941,78.10285714285715,6.514285714285714,0.03,9.837142857142856
45.462906,-94.950806,97.03714285714284,7.061428571428571,0.04,6.375714285714285
44.736061,-71.811523,95.92714285714284,4.384285714285714,2.0,5.105714285714286
33.987629,-109.222321,77.13857142857144,5.51,0.6,9.715714285714286
40.943165,-75.992981,97.67857142857144,4.395714285714286,2.01,9.737142857142857
41.799797,-115.426056,81.58571428571429,6.01,0.03,7.415714285714285
39.746201,-89.883972,99.46571428571428,6.6242857142857146,0.05,12.135714285714286
45.053211,-103.195129,91.38428571428572,7.097142857142857,0.04,8.817142857142857
37.509403,-110.415161,85.2,4.421428571428572,0.03,13.668571428571427
32.662472,-96.745117,99.53571428571428,6.505714285714285,0.06,18.93142857142857
34.192902,-101.052582,91.21285714285716,7.24,0.04,16.341428571428573
38.818981,-113.776337,82.08428571428571,4.874285714285714,0.03,10.54857142857143
37.976936,-99.52713,93.76857142857143,7.5528571428571425,0.05,13.45857142857143
41.022121,-108.866089,78.33,6.085714285714286,0.02,6.471428571428571
44.906364,-103.440521,90.34,6.909999999999999,0.04,8.742857142857144
42.603706,-120.133499,84.02285714285713,5.337142857142857,0.08,7.938571428571429
34.872719,-98.713135,96.33714285714288,7.148571428571429,0.05,16.44857142857143
34.326195,-110.099579,81.61428571428571,5.491428571428571,0.28,12.532857142857145
36.6516,-102.121033,89.39857142857143,7.467142857142856,0.04,14.618571428571428
40.101067,-78.391602,97.48,4.321428571428571,1.96,10.665714285714284
35.915298,-102.096985,89.33571428571429,7.372857142857143,0.04,14.718571428571428
46.622635,-95.87796,96.47571428571428,7.244285714285715,0.04,5.412857142857143
41.317558,-89.10321,99.04857142857144,6.765714285714286,0.05,10.022857142857143
46.523575,-105.620239,91.9557142857143,6.808571428571428,0.03,8.815714285714286
31.618633,-104.597717,88.22142857142856,6.398571428571429,0.02,17.981428571428573
