Latitude,Longitude,Month,Mean Power Proportion,SW_DWN,LW_DWN,SW_DIFF,SW_DNI,Cloud,Clearness,Humidity,Precipitation,Temp
34.05,-117.55,may,0.1981934010899985,7.66,7.46,1.56,8.96,23.57,0.69,54.98,0.31,19.15
34.05,-117.55,jun,0.21064221534835767,8.0,8.09,1.56,9.35,24.43,0.7,42.21,0.06,24.45
34.05,-117.55,jul,0.19990204742966564,7.45,9.04,1.71,8.22,33.14,0.66,40.45,0.29,28.74
34.05,-117.55,aug,0.2106252761820592,7.78,7.9,0.9,10.56,8.67,0.75,39.61,0.01,24.69
34.05,-117.55,sep,0.20317130652526144,6.37,7.76,1.07,8.8,15.64,0.72,34.33,0.12,23.78
34.05,-117.55,oct,0.16484165561938433,4.91,6.96,0.91,7.85,24.22,0.69,48.54,0.07,17.14
34.05,-117.55,nov,0.1460609073501252,3.77,6.77,0.87,6.83,32.21,0.68,39.61,0.08,15.35
34.05,-117.55,dec,0.13676056856679925,3.2,6.25,0.82,6.28,36.12,0.67,43.05,0.53,10.06
34.25,-118.65,jan,0.14256349296199858,3.32,6.3,0.88,6.01,35.58,0.64,65.17,1.82,7.83
34.25,-118.65,feb,0.17232933318238425,4.32,6.45,1.18,6.76,40.68,0.65,51.78,2.1,9.81
34.25,-118.65,mar,0.15863108041812898,4.78,6.62,1.83,5.35,58.22,0.57,71.65,2.62,7.43
34.25,-118.65,apr,0.17081238914676025,5.72,7.13,1.94,6.04,47.76,0.57,72.87,2.51,11.56
34.25,-118.65,may,0.19106551190610965,7.32,7.63,1.69,8.35,31.73,0.66,59.8,0.64,18.25
34.25,-118.65,jun,0.20193950715121328,7.86,8.22,1.65,9.05,25.7,0.68,44.22,0.0,24.1
34.25,-118.65,jul,0.20328135023963168,7.72,8.92,1.63,8.79,22.3,0.69,33.66,0.04,29.13
34.25,-118.65,aug,0.20621815917581796,7.71,7.85,0.94,10.42,8.38,0.75,35.59,0.01,24.6
34.25,-118.65,sep,0.19149864145816822,6.32,7.79,1.17,8.56,14.89,0.71,32.03,0.02,22.91
34.25,-118.65,oct,0.16941214762821236,4.83,7.04,0.94,7.68,24.0,0.68,48.3,0.18,15.64
34.25,-118.65,nov,0.15325983999396203,3.68,6.81,0.94,6.48,29.59,0.67,46.15,0.11,13.02
34.25,-118.65,dec,0.1351673648062191,3.08,6.31,0.85,5.94,32.77,0.65,53.43,0.76,7.93
38.55,-121.55,jan,0.08127777777777778,2.12,7.12,1.01,3.14,61.35,0.47,81.96,2.86,8.67
38.55,-121.55,feb,0.13511948249619485,3.58,6.9,1.03,5.76,40.0,0.6,72.49,2.07,10.23
38.55,-121.55,mar,0.13550456621004564,3.88,7.28,2.03,3.54,73.66,0.49,82.25,5.05,8.26
38.55,-121.55,apr,0.1649337899543379,4.94,7.8,2.03,4.37,63.11,0.51,81.6,3.71,12.95
38.55,-121.55,may,0.21780974124809743,7.6,7.68,1.75,8.86,24.11,0.69,71.39,0.59,17.97
38.55,-121.55,jun,0.22681506849315064,8.07,8.28,1.61,9.61,22.88,0.7,55.42,0.02,23.15
38.55,-121.55,jul,0.21733333333333335,8.25,8.6,1.19,10.52,11.87,0.73,40.34,0.02,27.32
38.55,-121.55,aug,0.21491476407914764,7.58,8.05,0.98,10.33,5.69,0.75,42.64,0.01,24.01
38.55,-121.55,sep,0.19711111111111113,6.07,7.97,1.07,8.59,11.65,0.71,38.25,0.02,22.6
38.55,-121.55,oct,0.15470015220700153,4.28,7.59,0.98,6.94,23.0,0.65,46.85,0.22,17.18
38.55,-121.55,nov,0.09348173515981735,2.39,7.5,1.02,3.73,55.87,0.49,67.88,1.41,12.03
38.55,-121.55,dec,0.07591324200913242,2.01,6.95,0.81,3.64,56.85,0.49,62.96,3.03,8.56
37.15,-121.55,jan,0.11435136986301368,2.33,6.94,1.08,3.42,54.89,0.5,85.29,2.75,8.02
37.15,-121.55,feb,0.14920890410958904,3.64,6.77,1.09,5.64,39.1,0.59,77.44,1.66,9.27
37.15,-121.55,mar,0.14110570776255707,3.98,7.19,2.12,3.58,73.23,0.49,84.67,4.38,7.73
37.15,-121.55,apr,0.15556735159817353,4.94,7.58,2.12,4.31,62.98,0.5,83.3,3.07,11.72
37.15,-121.55,may,0.2220360730593607,7.73,7.26,1.65,9.2,23.6,0.7,70.14,0.68,16.16
37.15,-121.55,jun,0.22111461187214612,8.05,7.7,1.57,9.62,22.69,0.7,56.77,0.03,21.25
37.15,-121.55,jul,0.23110639269406394,8.21,7.93,1.25,10.28,11.67,0.73,40.12,0.03,26.39
37.15,-121.55,aug,0.21934155251141554,7.56,7.59,1.0,10.25,9.33,0.74,49.45,0.01,22.23
37.15,-121.55,sep,0.20832831050228315,6.08,7.5,1.08,8.5,12.6,0.71,46.23,0.03,20.98
37.15,-121.55,oct,0.17641826484018266,4.35,7.32,0.98,6.95,23.67,0.65,52.82,0.15,16.25
37.15,-121.55,nov,0.13126598173515983,2.66,7.29,1.0,4.45,50.34,0.53,74.57,1.03,11.6
37.15,-121.55,dec,0.1097972602739726,2.23,6.8,0.87,3.99,50.49,0.53,66.64,2.33,8.2
34.45,-114.65,jan,0.16860611872146117,3.62,6.49,0.9,6.71,29.72,0.7,30.26,0.0,11.27
34.45,-114.65,feb,0.18786511415525114,4.58,6.71,1.25,7.09,37.82,0.69,21.75,0.11,13.68
34.45,-114.65,mar,0.1832393607305936,5.2,7.07,2.06,5.61,55.26,0.62,37.54,0.4,13.42
34.45,-114.65,apr,0.23302447488584474,7.27,7.35,1.43,9.08,22.92,0.72,29.02,0.12,19.36
34.45,-114.65,may,0.21755105022831048,8.13,8.12,1.63,9.57,22.46,0.73,17.7,0.01,27.21
34.45,-114.65,jun,0.2057648401826484,8.21,8.87,1.74,9.34,26.68,0.71,16.82,0.12,32.77
34.45,-114.65,jul,0.1911733333333333,7.3,10.24,1.94,7.61,47.23,0.65,31.46,0.94,35.02
34.45,-114.65,aug,0.1996783561643836,7.49,9.34,1.23,9.46,21.71,0.73,29.84,0.69,32.64
34.45,-114.65,sep,0.20596639269406392,6.39,8.66,1.12,8.71,20.31,0.72,28.34,0.82,28.08
34.45,-114.65,oct,0.18305488584474883,4.88,7.69,1.09,7.44,24.93,0.69,31.74,0.56,20.85
34.45,-114.65,nov,0.17515479452054794,3.82,7.08,0.91,6.89,27.28,0.69,26.12,0.0,16.52
34.45,-114.65,dec,0.15568109589041096,3.18,6.48,0.83,6.16,28.16,0.67,33.61,0.03,9.69
33.65,-117.25,jan,0.1525651789659744,3.56,6.9,0.88,6.3,30.59,0.66,61.1,0.96,13.02
